POS,DRIVER,NATIONALITY,CAR,PTS

1, Verstappen,NED,Red Bull Racing Honda RBPT,277
2, Norris,GBR,McLaren Mercedes,199
3, Leclerc,MON,Ferrari,177
4, Piastri,AUS,McLaren Mercedes,167
5, Sainz,ESP,Ferrari,162
6, Hamilton,GBR,Mercedes,150
7, Perez,MEX,Red Bull Racing Honda RBPT,131
8, Russell,GBR,Mercedes,116
9, Alonso,ESP,Aston Martin Aramco Mercedes,49
10, Stroll,CAN,Aston Martin Aramco Mercedes,24
11, Hulkenberg,GER,Haas Ferrari,22
12, Tsunoda,JPN,RB Honda RBPT,22
13, Ricciardo,AUS,RB Honda RBPT,12
14, Bearman,GBR,Ferrari,6
15, Gasly,FRA,Alpine Renault,6
16, Magnussen,DEN,Haas Ferrari,5
17, Ocon,FRA,Alpine Renault,5
18, Albon,THA,Williams Mercedes,4
19,Zhou ,CHN,Kick Sauber Ferrari,0
20, Sargeant,USA,Williams Mercedes,0
21, Bottas,FIN,Kick Sauber Ferrari,0
